FIPS,county,state,total.population.est,age.o65y.per,males.100.females.ratio,edu.o25y.high.school.grad.per,edu.o25y.bacherlor.or.higher.per,housing.units.vacant.per,race.white.per,race.black.per,race.native.american.per,race.asian.per,race.pacific.per,race.other.per,race.latino.per,rel.population.total.members.per,work.laborforce.civilian.is.unemployed.per,work.occupation.management.business.science.arts.per,work.occupation.service.per,work.occupation.sales.office.per,work.occupation.natural.ressources.construction.maintenance.per,work.occupation.production.transportation.per,work.class.of.worker.private.per,work.class.of.worker.gov.per,work.class.of.worker.self.employed.per,income.median.est,income.with.social.security.per,insurance.with.insurance.per,poverty.all.people.per,household.average.family.size.est,disability.is.per,residence.1y.ago.same.county.per,place.of.birth.foreign.per,foreign.born.place.latin.america.per,language.spoken.at.home.english.only.per,geo.density.population.ratio,geo.density.housing.ratio,health.general.practicioner.per.1000.ratio,votes.republicans.per,party.governor,voting.behavior
01021,Chilton County,Alabama,43819,0.149,97.4,0.392,0.141,0.16,0.81,0.10,0.00,0.00,0.00,0.02,0.08,0.545,0.091,0.272,0.143,0.237,0.153,0.195,0.803,0.152,0.041,41627,0.357,0.84,0.191,3.2,0.169,0.962,0.053,0.85,0.923,63.24,27.78,0.14,0.83,Rep,Rep
01023,Choctaw County,Alabama,13395,0.203,91,0.368,0.119,0.23,0.56,0.43,0.00,0.00,0.00,0.02,0.00,0.855,0.136,0.249,0.154,0.196,0.183,0.218,0.775,0.168,0.054,33536,0.463,0.866,0.234,3.06,0.248,0.964,0.002,0.095,0.996,14.66,7.92,0.36,0.56,Rep,Rep
01025,Clarke County,Alabama,25070,0.175,89.4,0.439,0.129,0.24,0.53,0.45,0.00,0.00,0.00,0.01,0.00,0.815,0.194,0.211,0.15,0.255,0.116,0.269,0.831,0.136,0.033,32011,0.416,0.848,0.247,3.32,0.154,0.977,0.005,0.254,0.983,20.24,10.17,0.46,0.55,Rep,Rep
01027,Clay County,Alabama,13537,0.189,97.2,0.363,0.096,0.20,0.80,0.14,0.01,0.00,0.00,0.03,0.03,0.631,0.094,0.215,0.133,0.208,0.153,0.291,0.775,0.147,0.078,35327,0.44,0.856,0.167,3,0.18,0.961,0.021,0.9,0.968,22.41,11.16,0.43,0.80,Rep,Rep
01029,Cleburne County,Alabama,15002,0.177,95.6,0.383,0.12,0.14,0.93,0.03,0.00,0.00,0.00,0.03,0.02,0.394,0.083,0.289,0.117,0.231,0.156,0.207,0.763,0.153,0.084,38056,0.41,0.863,0.17,3.1,0.202,0.952,0.015,0.758,0.971,26.78,11.95,0.27,0.88,Rep,Rep
01031,Coffee County,Alabama,50884,0.154,97.9,0.295,0.238,0.16,0.72,0.17,0.01,0.01,0.00,0.06,0.06,0.584,0.071,0.322,0.186,0.227,0.121,0.145,0.703,0.235,0.057,46729,0.353,0.884,0.171,3.25,0.176,0.902,0.042,0.481,0.927,74.94,33.54,0.34,0.77,Rep,Rep
01033,Colbert County,Alabama,54444,0.181,93.5,0.345,0.186,0.15,0.79,0.16,0.01,0.00,0.00,0.04,0.02,0.541,0.09,0.273,0.155,0.257,0.107,0.207,0.786,0.161,0.052,40576,0.369,0.889,0.174,2.99,0.2,0.941,0.019,0.645,0.974,91.87,43.99,0.39,0.68,Rep,Rep
01035,Conecuh County,Alabama,12865,0.196,92.3,0.445,0.082,0.27,0.51,0.45,0.00,0.00,0.00,0.05,0.02,0.513,0.226,0.194,0.21,0.204,0.114,0.279,0.778,0.13,0.083,24900,0.472,0.792,0.338,3.15,0.247,0.985,0.01,0.748,0.981,15.13,8.32,0.38,0.52,Rep,Rep
01037,Coosa County,Alabama,11027,0.179,102.4,0.376,0.085,0.31,0.65,0.31,0.00,0.00,0.00,0.04,0.02,0.295,0.17,0.18,0.198,0.219,0.127,0.276,0.766,0.175,0.059,31212,0.474,0.845,0.193,3.09,0.221,0.918,0.018,0.97,0.97,16.94,9.93,0.00,0.65,Rep,Rep
01039,Covington County,Alabama,37886,0.196,93.8,0.336,0.143,0.20,0.83,0.13,0.00,0.00,0.00,0.03,0.02,0.547,0.112,0.262,0.156,0.236,0.152,0.194,0.771,0.158,0.067,36444,0.433,0.867,0.202,3.01,0.215,0.957,0.011,0.396,0.978,36.77,18.22,0.40,0.84,Rep,Rep
01041,Crenshaw County,Alabama,13938,0.171,97,0.38,0.143,0.20,0.70,0.24,0.01,0.02,0.00,0.03,0.02,0.613,0.097,0.276,0.116,0.238,0.125,0.246,0.741,0.178,0.079,36022,0.417,0.877,0.167,3.22,0.182,0.938,0.024,0.396,0.963,22.89,11.01,0.07,0.72,Rep,Rep
01043,Cullman County,Alabama,80965,0.173,98,0.347,0.145,0.16,0.92,0.01,0.00,0.01,0.00,0.03,0.04,0.449,0.073,0.285,0.156,0.239,0.139,0.181,0.816,0.122,0.058,38971,0.375,0.85,0.185,3.11,0.158,0.961,0.025,0.688,0.956,110.18,50.49,0.35,0.88,Rep,Rep
01045,Dale County,Alabama,49866,0.149,98.2,0.322,0.163,0.17,0.70,0.19,0.01,0.01,0.00,0.06,0.06,0.386,0.109,0.271,0.172,0.248,0.148,0.162,0.731,0.209,0.059,45028,0.329,0.866,0.191,3.2,0.201,0.881,0.032,0.499,0.945,88.86,40.67,0.28,0.74,Rep,Rep
01047,Dallas County,Alabama,42154,0.152,85.7,0.346,0.141,0.19,0.29,0.69,0.00,0.00,0.00,0.03,0.00,0.777,0.164,0.265,0.195,0.193,0.101,0.245,0.766,0.167,0.062,27306,0.409,0.86,0.35,3.28,0.195,0.965,0.008,0.322,0.989,43.07,20.68,0.91,0.31,Rep,Rep
01049,DeKalb County,Alabama,71068,0.149,99.7,0.352,0.112,0.19,0.81,0.02,0.01,0.00,0.00,0.04,0.14,0.426,0.077,0.242,0.157,0.213,0.124,0.264,0.788,0.126,0.085,38192,0.363,0.831,0.187,3.42,0.153,0.945,0.076,0.933,0.878,91.45,39.97,0.34,0.83,Rep,Rep
01051,Elmore County,Alabama,80763,0.134,95.1,0.354,0.214,0.14,0.74,0.21,0.00,0.01,0.00,0.03,0.03,0.456,0.083,0.333,0.16,0.252,0.096,0.159,0.704,0.241,0.055,53555,0.309,0.906,0.136,3.17,0.171,0.912,0.021,0.533,0.966,130.58,53.58,0.26,0.75,Rep,Rep
01053,Escambia County,Alabama,37935,0.161,106,0.421,0.126,0.17,0.61,0.33,0.03,0.00,0.00,0.03,0.01,0.601,0.156,0.254,0.218,0.231,0.11,0.187,0.745,0.19,0.064,32330,0.443,0.815,0.242,3.26,0.2,0.969,0.006,0.712,0.988,40.14,17.39,0.52,0.68,Rep,Rep
01055,Etowah County,Alabama,103766,0.168,93.7,0.319,0.161,0.16,0.79,0.15,0.00,0.01,0.00,0.03,0.04,0.597,0.09,0.287,0.185,0.213,0.098,0.217,0.798,0.144,0.056,39220,0.418,0.869,0.197,3.1,0.203,0.953,0.027,0.642,0.966,193.96,88.79,0.53,0.74,Rep,Rep
01057,Fayette County,Alabama,16896,0.189,100.7,0.388,0.141,0.16,0.85,0.12,0.00,0.00,0.00,0.03,0.01,0.476,0.1,0.27,0.146,0.216,0.127,0.241,0.819,0.142,0.038,34680,0.433,0.905,0.183,2.87,0.259,0.959,0.004,0,0.993,26.92,13.41,0.58,0.82,Rep,Rep
01059,Franklin County,Alabama,31634,0.16,93.8,0.375,0.114,0.15,0.79,0.04,0.01,0.00,0.00,0.02,0.16,0.406,0.098,0.214,0.136,0.194,0.128,0.328,0.785,0.146,0.069,35372,0.383,0.842,0.225,3.15,0.191,0.925,0.088,0.947,0.856,49.91,22.14,0.38,0.79,Rep,Rep
01061,Geneva County,Alabama,26815,0.185,96.6,0.371,0.123,0.15,0.84,0.09,0.00,0.01,0.00,0.04,0.04,0.496,0.112,0.239,0.178,0.225,0.199,0.16,0.757,0.15,0.088,36024,0.407,0.846,0.232,2.95,0.217,0.953,0.027,0.442,0.958,46.68,22.04,0.37,0.85,Rep,Rep
01063,Greene County,Alabama,8697,0.174,89,0.389,0.11,0.36,0.18,0.81,0.00,0.00,0.00,0.01,0.01,0.659,0.204,0.201,0.223,0.26,0.095,0.221,0.758,0.172,0.07,20541,0.464,0.854,0.402,3.72,0.279,0.969,0.002,0.158,0.986,13.44,7.72,0.11,0.17,Rep,Rep
01065,Hale County,Alabama,15256,0.17,89,0.429,0.139,0.22,0.40,0.58,0.00,0.00,0.00,0.00,0.01,0.712,0.133,0.255,0.167,0.244,0.122,0.213,0.763,0.176,0.058,32714,0.43,0.877,0.268,3.23,0.204,0.976,0.01,0.719,0.976,23.69,11.87,0.19,0.40,Rep,Rep
01067,Henry County,Alabama,17252,0.199,91.8,0.355,0.165,0.23,0.68,0.28,0.00,0.00,0.00,0.02,0.02,0.520,0.081,0.335,0.171,0.185,0.109,0.2,0.789,0.155,0.054,41997,0.409,0.877,0.156,3.11,0.197,0.945,0.014,0.772,0.969,30.71,15.95,0.17,0.70,Rep,Rep
01069,Houston County,Alabama,103534,0.156,91.8,0.331,0.206,0.15,0.68,0.26,0.00,0.01,0.00,0.04,0.03,0.583,0.083,0.311,0.185,0.261,0.103,0.141,0.813,0.13,0.055,41571,0.346,0.872,0.183,3.25,0.177,0.948,0.024,0.525,0.96,178.56,79.50,0.34,0.73,Rep,Rep
01071,Jackson County,Alabama,52860,0.179,97.4,0.398,0.124,0.17,0.89,0.03,0.01,0.00,0.00,0.06,0.03,0.355,0.101,0.253,0.141,0.211,0.13,0.266,0.751,0.171,0.077,37745,0.412,0.857,0.18,3.13,0.171,0.97,0.023,0.621,0.973,49.04,22.97,0.45,0.80,Rep,Rep
01073,Jefferson County,Alabama,659026,0.139,89.7,0.265,0.307,0.14,0.51,0.42,0.00,0.02,0.00,0.02,0.04,0.730,0.091,0.387,0.17,0.252,0.074,0.116,0.809,0.144,0.046,45610,0.316,0.882,0.188,3.13,0.147,0.948,0.04,0.492,0.94,593.03,273.34,0.39,0.45,Rep,Rep
01075,Lamar County,Alabama,14133,0.195,93.6,0.371,0.115,0.16,0.86,0.11,0.00,0.00,0.00,0.02,0.01,0.642,0.102,0.259,0.141,0.206,0.147,0.247,0.796,0.155,0.039,35450,0.399,0.867,0.241,2.69,0.241,0.948,0.008,0.812,0.987,23.37,12.09,0.14,0.84,Rep,Rep
01077,Lauderdale County,Alabama,92737,0.177,91.9,0.341,0.218,0.13,0.85,0.10,0.00,0.01,0.00,0.03,0.02,0.536,0.071,0.295,0.19,0.247,0.11,0.158,0.773,0.167,0.058,43125,0.351,0.887,0.179,2.91,0.158,0.944,0.019,0.501,0.972,138.89,66.13,0.24,0.71,Rep,Rep
01079,Lawrence County,Alabama,33586,0.158,95.7,0.406,0.111,0.11,0.77,0.11,0.05,0.00,0.00,0.09,0.02,0.486,0.098,0.251,0.148,0.183,0.153,0.265,0.803,0.133,0.059,40003,0.341,0.886,0.187,2.93,0.206,0.952,0.007,0.617,0.985,48.63,21.99,0.15,0.73,Rep,Rep
01081,Lee County,Alabama,150982,0.098,96.8,0.255,0.341,0.12,0.68,0.23,0.00,0.03,0.00,0.03,0.04,0.369,0.073,0.397,0.161,0.229,0.083,0.13,0.755,0.203,0.041,44570,0.246,0.895,0.238,3.08,0.117,0.883,0.055,0.25,0.926,248.51,106.93,0.29,0.60,Rep,Rep
01083,Limestone County,Alabama,88805,0.134,101,0.321,0.232,0.09,0.77,0.13,0.01,0.01,0.00,0.04,0.06,0.510,0.078,0.342,0.152,0.223,0.124,0.16,0.779,0.164,0.055,49570,0.324,0.874,0.143,3.16,0.14,0.946,0.047,0.644,0.933,158.60,63.14,0.30,0.73,Rep,Rep
01085,Lowndes County,Alabama,10742,0.165,91.2,0.353,0.141,0.16,0.25,0.74,0.00,0.00,0.00,0.01,0.00,0.740,0.132,0.239,0.162,0.194,0.092,0.314,0.739,0.205,0.042,25876,0.43,0.864,0.285,3.15,0.204,0.965,0.003,0.625,0.993,15.00,7.11,0.09,0.26,Rep,Rep
01087,Macon County,Alabama,20018,0.16,84.5,0.309,0.193,0.22,0.16,0.81,0.00,0.00,0.00,0.02,0.02,0.506,0.169,0.267,0.231,0.226,0.091,0.186,0.757,0.203,0.038,30738,0.395,0.876,0.259,2.92,0.178,0.917,0.013,0.62,0.961,32.88,16.81,0.37,0.16,Rep,Rep
01089,Madison County,Alabama,346438,0.133,95.7,0.213,0.393,0.10,0.66,0.24,0.01,0.02,0.00,0.05,0.05,0.484,0.085,0.446,0.156,0.232,0.067,0.099,0.756,0.195,0.047,57993,0.271,0.881,0.137,3.07,0.127,0.942,0.054,0.339,0.931,432.19,190.52,0.68,0.56,Rep,Rep
01091,Marengo County,Alabama,20306,0.184,87.1,0.42,0.153,0.19,0.46,0.51,0.00,0.00,0.00,0.01,0.02,0.923,0.114,0.284,0.182,0.207,0.125,0.202,0.726,0.188,0.079,32042,0.401,0.88,0.261,3.19,0.236,0.955,0.011,0.893,0.982,20.79,10.46,0.38,0.48,Rep,Rep
01093,Marion County,Alabama,30387,0.196,97.5,0.345,0.116,0.14,0.92,0.04,0.00,0.00,0.00,0.03,0.02,0.497,0.099,0.262,0.181,0.23,0.105,0.222,0.75,0.165,0.08,32299,0.433,0.882,0.201,2.76,0.243,0.953,0.017,0.548,0.973,40.94,19.84,0.29,0.87,Rep,Rep
01095,Marshall County,Alabama,94318,0.16,96.9,0.319,0.166,0.15,0.83,0.02,0.00,0.00,0.00,0.04,0.13,0.409,0.084,0.281,0.146,0.227,0.134,0.211,0.78,0.148,0.071,38983,0.379,0.831,0.202,3.28,0.176,0.947,0.077,0.863,0.888,166.69,71.35,0.47,0.84,Rep,Rep
01097,Mobile County,Alabama,414251,0.14,91.8,0.328,0.219,0.15,0.58,0.35,0.01,0.02,0.00,0.03,0.03,0.561,0.098,0.324,0.174,0.262,0.097,0.143,0.814,0.138,0.046,43809,0.334,0.858,0.193,3.26,0.152,0.969,0.031,0.352,0.951,336.94,147.17,0.29,0.56,Rep,Rep
01099,Monroe County,Alabama,22217,0.172,91.9,0.447,0.122,0.26,0.55,0.42,0.01,0.00,0.00,0.01,0.01,0.820,0.207,0.229,0.205,0.21,0.134,0.223,0.773,0.184,0.041,27257,0.394,0.831,0.314,3.43,0.141,0.967,0.002,0,0.992,21.66,11.01,0.39,0.57,Rep,Rep
01101,Montgomery County,Alabama,228138,0.129,90.4,0.26,0.311,0.13,0.37,0.56,0.00,0.02,0.00,0.03,0.03,0.700,0.088,0.36,0.191,0.251,0.06,0.138,0.726,0.227,0.046,44369,0.311,0.871,0.226,3.11,0.162,0.922,0.043,0.337,0.946,290.90,131.42,0.55,0.36,Rep,Rep
01103,Morgan County,Alabama,119786,0.152,96.5,0.31,0.213,0.10,0.77,0.12,0.00,0.01,0.00,0.04,0.08,0.548,0.099,0.297,0.154,0.243,0.117,0.188,0.819,0.121,0.059,45751,0.334,0.853,0.161,3.12,0.167,0.953,0.047,0.836,0.924,206.76,88.74,0.34,0.75,Rep,Rep
01105,Perry County,Alabama,10038,0.176,86.3,0.386,0.133,0.27,0.30,0.68,0.00,0.00,0.00,0.01,0.01,0.416,0.112,0.265,0.228,0.244,0.055,0.208,0.763,0.19,0.047,24537,0.501,0.856,0.364,3.43,0.253,0.94,0.005,0,0.99,13.95,6.55,0.47,0.27,Rep,Rep
01107,Pickens County,Alabama,19856,0.178,94.7,0.422,0.099,0.19,0.55,0.42,0.00,0.00,0.00,0.01,0.02,0.666,0.138,0.197,0.172,0.223,0.133,0.274,0.778,0.179,0.042,30330,0.404,0.87,0.25,3.26,0.243,0.961,0.011,0.963,0.974,22.53,10.72,0.30,0.57,Rep,Rep
01109,Pike County,Alabama,33155,0.138,91.2,0.339,0.234,0.18,0.57,0.38,0.01,0.02,0.00,0.02,0.01,0.426,0.102,0.297,0.159,0.256,0.094,0.193,0.758,0.187,0.055,32825,0.313,0.893,0.261,2.99,0.159,0.929,0.032,0.168,0.959,49.33,23.24,0.27,0.59,Rep,Rep
01111,Randolph County,Alabama,22648,0.189,96,0.356,0.151,0.25,0.75,0.20,0.00,0.00,0.00,0.03,0.03,0.529,0.103,0.276,0.129,0.203,0.131,0.261,0.764,0.139,0.089,36924,0.423,0.857,0.204,3.09,0.167,0.963,0.018,0.69,0.978,39.01,20.57,0.31,0.76,Rep,Rep
01113,Russell County,Alabama,58302,0.124,94.6,0.314,0.171,0.16,0.50,0.42,0.00,0.01,0.00,0.05,0.05,0.732,0.111,0.287,0.217,0.23,0.104,0.163,0.755,0.203,0.042,37049,0.319,0.837,0.21,3.2,0.181,0.905,0.025,0.406,0.951,90.93,41.13,0.19,0.48,Rep,Rep
01115,St. Clair County,Alabama,85864,0.147,101,0.355,0.155,0.11,0.86,0.09,0.00,0.01,0.00,0.02,0.02,0.384,0.084,0.288,0.149,0.276,0.124,0.163,0.816,0.123,0.06,51859,0.355,0.894,0.16,3.09,0.175,0.94,0.018,0.467,0.975,135.88,56.56,0.17,0.83,Rep,Rep
01117,Shelby County,Alabama,203530,0.124,95,0.214,0.407,0.09,0.79,0.12,0.00,0.02,0.00,0.02,0.06,0.415,0.055,0.428,0.145,0.271,0.073,0.084,0.826,0.125,0.048,70187,0.266,0.911,0.083,3.19,0.11,0.923,0.056,0.553,0.918,259.30,105.55,0.38,0.73,Rep,Rep
01119,Sumter County,Alabama,13341,0.158,79.4,0.405,0.163,0.29,0.25,0.72,0.00,0.02,0.00,0.01,0.00,0.719,0.168,0.238,0.299,0.197,0.071,0.196,0.711,0.238,0.051,19501,0.399,0.808,0.427,3.53,0.206,0.952,0.015,0.046,0.976,14.76,7.47,0.44,0.25,Rep,Rep
01121,Talladega County,Alabama,81437,0.156,94.2,0.363,0.132,0.15,0.64,0.32,0.00,0.00,0.00,0.03,0.02,0.547,0.138,0.281,0.148,0.223,0.112,0.236,0.777,0.166,0.055,35155,0.384,0.873,0.23,3.02,0.191,0.94,0.016,0.519,0.972,110.53,50.43,0.21,0.62,Rep,Rep
01123,Tallapoosa County,Alabama,41153,0.189,90.9,0.344,0.173,0.26,0.69,0.27,0.00,0.00,0.00,0.01,0.02,0.672,0.09,0.286,0.142,0.22,0.121,0.232,0.784,0.156,0.055,39206,0.422,0.881,0.225,3,0.175,0.958,0.015,0.821,0.978,57.43,30.81,0.34,0.70,Rep,Rep
01125,Tuscaloosa County,Alabama,200458,0.115,93.3,0.305,0.285,0.21,0.64,0.31,0.00,0.01,0.00,0.02,0.03,0.536,0.076,0.351,0.182,0.217,0.091,0.159,0.77,0.189,0.04,46565,0.306,0.897,0.191,3.36,0.117,0.918,0.035,0.443,0.946,151.66,65.87,0.80,0.58,Rep,Rep
01127,Walker County,Alabama,65923,0.177,94.4,0.365,0.108,0.17,0.90,0.06,0.00,0.00,0.00,0.04,0.02,0.512,0.114,0.254,0.176,0.253,0.142,0.176,0.783,0.153,0.062,35843,0.452,0.865,0.225,3.03,0.25,0.95,0.013,0.655,0.985,83.32,38.77,0.33,0.83,Rep,Rep
01129,Washington County,Alabama,16997,0.16,99.8,0.461,0.099,0.27,0.65,0.25,0.08,0.00,0.00,0.00,0.01,0.714,0.2,0.203,0.152,0.196,0.168,0.282,0.774,0.161,0.06,42811,0.447,0.845,0.191,3.25,0.243,0.968,0.007,0.361,0.984,15.73,7.75,0.23,0.71,Rep,Rep
01131,Wilcox County,Alabama,11235,0.172,91.8,0.413,0.125,0.32,0.27,0.72,0.00,0.00,0.00,0.00,0.01,0.654,0.208,0.284,0.178,0.192,0.085,0.261,0.689,0.26,0.051,23750,0.449,0.836,0.377,3.76,0.177,0.965,0,0,0.984,12.64,6.32,0.26,0.28,Rep,Rep
01133,Winston County,Alabama,24130,0.195,96.9,0.337,0.114,0.30,0.94,0.01,0.00,0.00,0.00,0.04,0.03,0.358,0.096,0.245,0.19,0.208,0.11,0.248,0.743,0.16,0.096,33194,0.501,0.866,0.219,3.1,0.258,0.961,0.012,0.776,0.98,39.37,21.89,0.41,0.90,Rep,Rep
02013,Aleutians East Borough,Alaska,3304,0.058,198.7,0.394,0.14,0.23,0.15,0.09,0.29,0.31,0.01,0.06,0.12,0.015,0.029,0.136,0.094,0.072,0.142,0.556,0.786,0.154,0.059,61518,0.164,0.437,0.168,2.99,0.078,0.858,0.451,0.184,0.5,0.47,0.13,0.00,0.53,Independent,Rep
02016,Aleutians West Census Area,Alaska,5684,0.053,148.1,0.37,0.147,0.41,0.28,0.05,0.13,0.37,0.02,0.09,0.11,0.080,0.021,0.169,0.105,0.176,0.141,0.409,0.779,0.189,0.032,84306,0.095,0.758,0.091,4.54,0.065,0.887,0.354,0.11,0.5,1.29,0.44,0.18,0.53,Independent,Rep
02020,Anchorage Municipality,Alaska,299107,0.086,104.9,0.241,0.332,0.08,0.60,0.06,0.06,0.09,0.02,0.17,0.09,0.327,0.067,0.397,0.177,0.239,0.094,0.093,0.733,0.209,0.057,78326,0.172,0.845,0.082,3.35,0.101,0.927,0.1,0.192,0.823,175.46,66.92,0.94,0.53,Independent,Rep
02050,Bethel Census Area,Alaska,17776,0.065,111,0.436,0.117,0.24,0.11,0.01,0.81,0.01,0.00,0.08,0.02,0.388,0.176,0.352,0.193,0.244,0.081,0.13,0.532,0.448,0.02,51012,0.209,0.744,0.252,4.45,0.098,0.962,0.018,0.122,0.365,0.44,0.15,0.82,0.53,Independent,Rep
02060,Bristol Bay Borough,Alaska,970,0.071,132.6,0.307,0.201,0.59,0.53,0.01,0.29,0.01,0.00,0.18,0.07,0.000,0.054,0.331,0.187,0.205,0.129,0.148,0.497,0.392,0.111,79750,0.156,0.801,0.072,3.01,0.121,0.881,0.02,0.368,0.931,1.93,1.82,0.00,0.53,Independent,Rep
02068,Denali Borough,Alaska,2060,0.068,120.6,0.239,0.334,0.60,0.85,0.01,0.04,0.03,0.00,0.11,0.03,0.432,0.023,0.303,0.304,0.126,0.158,0.109,0.664,0.245,0.079,81544,0.167,0.748,0.127,3.08,0.09,0.824,0.067,0.115,0.876,0.16,0.14,0.00,0.53,Independent,Rep
02070,Dillingham Census Area,Alaska,4979,0.078,108.3,0.381,0.162,0.44,0.18,0.00,0.72,0.01,0.00,0.12,0.03,0.307,0.125,0.381,0.154,0.227,0.116,0.121,0.585,0.378,0.037,54173,0.214,0.709,0.181,4.4,0.121,0.944,0.017,0.133,0.606,0.27,0.13,1.86,0.53,Independent,Rep
02090,Fairbanks North Star Borough,Alaska,99705,0.076,115.7,0.234,0.318,0.15,0.72,0.04,0.06,0.03,0.01,0.15,0.07,0.250,0.079,0.366,0.17,0.234,0.129,0.101,0.658,0.299,0.041,71068,0.176,0.868,0.081,3.31,0.108,0.87,0.051,0.175,0.904,13.59,5.68,0.67,0.53,Independent,Rep
02100,Haines Borough,Alaska,2560,0.165,118.2,0.277,0.356,0.26,0.80,0.00,0.06,0.03,0.00,0.19,0.02,0.288,0.03,0.34,0.206,0.206,0.106,0.141,0.69,0.197,0.103,58750,0.27,0.745,0.053,2.67,0.128,0.92,0.071,0.061,0.883,1.10,0.69,3.59,0.53,Independent,Rep
02105,Hoonah-Angoon Census Area,Alaska,2128,0.139,113,0.313,0.266,0.46,0.49,0.02,0.32,0.03,0.00,0.22,0.02,0.154,0.131,0.356,0.181,0.165,0.181,0.116,0.535,0.309,0.156,52419,0.3,0.71,0.119,2.81,0.165,0.945,0.054,0.123,0.882,0.28,0.22,0.00,0.53,Independent,Rep
